moment,q0,q10,q50,q90,q100,corrected
2019-02-28T00:00Z,-8.75675207197570771,-8.7537398052505484,-8.74493745175933768,-8.7136429260169983,-8.70561717466735807,-8.74065529767624305
2019-03-01T00:00Z,-8.76730536334228461,-8.7667038293586721,-8.75414143173599157,-8.72775045008926398,-8.71814928665924072,-8.75125047457297889
2019-03-02T00:00Z,-8.77794989955902061,-8.77444166329803465,-8.76464543411254837,-8.71076980692291158,-8.5673745096893299,-8.74662580925671129
2019-03-03T00:00Z,-8.77545990148925625,-8.77244353371658292,-8.76452974235916216,-8.5696174603256221,-8.26300385588073638,-8.71165846951675249
2019-03-04T00:00Z,-8.77274042939758303,-8.7707607347763048,-8.76574595259475586,-8.37029405506210189,-7.98606720744323617,-8.67782838386964883
2019-03-05T00:00Z,-8.77891850762939363,-8.77821807688674838,-8.76470197434615983,-8.67047332369689805,-8.37520854160308836,-8.73066125620555766
2019-03-06T00:00Z,-8.80993513460540711,-8.80184803472442567,-8.7751029207115181,-8.39569169016723649,-8.0211060484008776,-8.67233148203277437
2019-03-07T00:00Z,-8.81509181859588509,-8.81214492389755044,-8.77741713084411579,-8.49200163610839809,-8.30585109994506787,-8.72103265754731716
2019-03-08T00:00Z,-8.81465696898650997,-8.80861777158355785,-8.78240820077514606,-8.56060747282638523,-8.36094510559081883,-8.73495975980854311
2019-03-09T00:00Z,-8.81222870194244301,-8.80396752447357045,-8.78944038072586054,-8.32621844210662765,-8.23872018365478453,-8.69530967157156987
2019-03-10T00:00Z,-8.82033168199920503,-8.81816728087615864,-8.80194926593398996,-8.44040005920791536,-8.07106547364807092,-8.69916604426641094
2019-03-11T00:00Z,-8.80407336036681976,-8.79034115245361214,-8.76445743864059423,-8.34513822437057229,-7.96130739123535136,-8.65534069093433978
2019-03-12T00:00Z,-8.77357894896697843,-8.76929279675292861,-8.76153634790802016,-8.6103182828964222,-8.41339899900054888,-8.72278537332026183
2019-03-13T00:00Z,-8.78838771887969905,-8.78517087333831626,-8.77701172150421094,-8.68488197107849125,-8.41857688938903692,-8.74686146784083007
2019-03-14T00:00Z,-8.78956741193389846,-8.78705475325012131,-8.78001951381683199,-8.73370376987533348,-8.5883996409606933,-8.76173048890050055
2019-03-15T00:00Z,-8.77469389730834948,-8.77133413101959114,-8.71805069456863357,-8.66276345244369494,-8.46061147416686943,-8.7102975636528317
2019-03-16T00:00Z,-8.6764900157470688,-8.66947040503158561,-8.66106419146347051,-8.65480304352493235,-8.63488349975585834,-8.66091777244234073
2019-03-17T00:00Z,-8.73760771056365826,-8.73049078759460429,-8.71208950878524746,-8.68001268834991357,-8.63453065948486298,-8.70815142126496333
2019-03-18T00:00Z,-8.77912084875488219,-8.76984106105728145,-8.75733095326232913,-8.47700037550735352,-8.08746880903625431,-8.69107395531828963
